dataset,epoch,train_loss,train_mae,validation_loss,validation_mae,improved,early_stop_counter,epoch_seconds
WUSTL_IIOT,23,72499354844263.03,28102.348470563134,70996144718447.16,27568.155298886137,True,0,54.27784729003906
WUSTL_IIOT,24,72499350288671.61,28102.79575244601,70996142624975.39,27567.67232530592,True,0,45.51757287979126
WUSTL_IIOT,25,72499347333023.3,28102.22771956162,70996140319646.25,27566.531038820878,True,0,45.93074870109558
WUSTL_IIOT,26,72499345605502.97,28100.520892583452,70996138410362.05,27565.89724506579,True,0,45.13632249832153
WUSTL_IIOT,27,72499344002331.2,28100.79539052466,70996134023680.84,27566.261485259034,True,0,45.14349555969238
WUSTL_IIOT,28,72499337977416.47,28100.65391503296,70996130208895.58,27565.9819115685,True,0,44.4139518737793
WUSTL_IIOT,29,72499334959471.88,28100.75419219377,70996129637716.64,27568.154855770274,True,0,45.50683259963989
WUSTL_IIOT,30,72499334464791.3,28100.82861820824,70996128792000.02,27566.26927568969,True,0,43.90023350715637
WUSTL_IIOT,31,72499332184818.75,28101.046997073954,70996127210154.58,27565.024575961557,True,0,44.00843405723572
WUSTL_IIOT,32,72499327519268.86,28101.62597566867,70996120213078.28,27566.113200518565,True,0,44.625128984451294
WUSTL_IIOT,33,72499323668548.89,28100.79228419469,70996116820528.97,27565.840099822086,True,0,44.77758193016052
WUSTL_IIOT,34,72499321680214.9,28101.494363709684,70996115388524.56,27567.383842329687,True,0,45.15350008010864
WUSTL_IIOT,35,72499321744469.88,28100.691017740744,70996117330787.9,27564.08089413953,False,1,44.93170881271362
WUSTL_IIOT,36,72499318337844.66,28099.749578953437,70996114199033.39,27565.56895830058,True,0,45.05991721153259
WUSTL_IIOT,37,72499311473428.73,28100.306449840387,70996103976012.7,27564.186121917188,True,0,47.09237742424011
WUSTL_IIOT,38,72499309549861.19,28098.647063222692,70996102662098.6,27563.50245310938,True,0,46.8987500667572
WUSTL_IIOT,39,72499308591795.52,28098.802522417773,70996105921765.17,27564.906880340735,False,1,46.209330797195435
WUSTL_IIOT,40,72499308774961.73,28099.74442871821,70996102061784.9,27565.859923993594,True,0,45.693549394607544
WUSTL_IIOT,41,72499301485627.55,28099.146634533743,70996094910371.94,27564.541971787334,True,0,45.66264510154724
WUSTL_IIOT,42,72499309109054.77,28099.47301586419,70996092453027.78,27565.027651960216,True,0,45.07104778289795
WUSTL_IIOT,43,72499298378689.89,28098.238082269007,70996092804239.25,27562.29583507337,False,1,45.469953775405884
WUSTL_IIOT,44,72499298000373.33,28099.19947445245,70996091556494.25,27568.309350658372,True,0,45.02597403526306
WUSTL_IIOT,45,72499299214705.53,28100.600545332003,70996095750726.22,27564.520794855674,False,1,46.00377702713013
WUSTL_IIOT,46,72499295841589.67,28101.64476643372,70996094610192.39,27568.162451848995,False,2,45.86962676048279
WUSTL_IIOT,47,72499292951788.2,28100.102035752265,70996081986298.52,27564.34754569228,True,0,45.42913317680359
WUSTL_IIOT,48,72499289579435.62,28099.44896937355,70996088860233.02,27563.251396542953,False,1,46.563796520233154
WUSTL_IIOT,49,72499283240763.52,28098.15873026001,70996081500464.19,27563.035411841804,True,0,46.275609731674194
WUSTL_IIOT,50,72499282213639.34,28098.146739237305,70996078897127.95,27564.35215727626,True,0,46.116878509521484
